Time Symbol VWAP
13:00:00 AABA 66.01
13:00:00 AAPL 162.09
13:00:00 ABB 19.14
13:00:00 ABT 69.18
13:00:00 ACIU 5.47
13:00:00 ADP 137.98
13:00:00 AGN 142.92
13:00:00 AGNC 17.96
13:00:00 ALGN 207.37
13:00:00 AMD 21.12
13:00:00 AMGN 187.59
13:00:00 AMZN 1620.71
13:00:00 ANTM 291.95
13:00:00 AU 13.74
13:00:00 AVCO 5.69
13:00:00 AVP 1.87
13:00:00 AXSM 8.3
13:00:00 BA 386.67
13:00:00 BABA 160.88
13:00:00 BAC 29.47
13:00:00 BBL 43.75
13:00:00 BHP 49.86
13:00:00 BIIB 321.65
13:00:00 BKNG 1820.05
13:00:00 BOTZ 18.03
13:00:00 BTI 34.08
13:00:00 BTX 1.58
13:00:00 BZUN 34.52
13:00:00 CANF 1.32
13:00:00 CCL 57.17
13:00:00 CETV 3.05
13:00:00 CGC 47.55
13:00:00 CGIX 0.26
13:00:00 CHKP 112.01
13:00:00 CLF 9.68
13:00:00 CMCSA 35.8
13:00:00 CODX 2.31
13:00:00 COHR 114.34
13:00:00 CONN 20.75
13:00:00 CRMD 1.83
13:00:00 CRON 18.12
13:00:00 CSCO 45.8
13:00:00 CUK 56.59
13:00:00 CZR 8.87
13:00:00 DFEN 41.99
13:00:00 DGAZ 89.26
13:00:00 DIA 247.91
13:00:00 DIS 110.61
13:00:00 DISCA 27.25
13:00:00 DRIP 11.01
13:00:00 DUST 20.0
13:00:00 EBAY 33.84
13:00:00 EEM 42.18
13:00:00 EGHT 17.34
13:00:00 EWZ 44.2
13:00:00 EYEN 4.33
13:00:00 F 8.69
13:00:00 FB 145.73
13:00:00 FHB 26.26
13:00:00 FRSX 2.05
13:00:00 GDX 21.92
13:00:00 GDXJ 31.81
13:00:00 GE 8.96
13:00:00 GILD 69.48
13:00:00 GLD 124.13
13:00:00 GOGL 4.96
13:00:00 GOOG 1068.04
13:00:00 GOOGL 1077.18
13:00:00 GS 200.83
13:00:00 HD 180.93
13:00:00 HPQ 21.98
13:00:00 IBB 107.26
13:00:00 IBM 134.62
13:00:00 IBN 10.48
13:00:00 INDA 32.06
13:00:00 INTC 46.56
13:00:00 IPCI 0.37
13:00:00 IR 97.86
13:00:00 IVZ 18.5
13:00:00 IWM 146.76
13:00:00 JD 23.95
13:00:00 JNPR 24.8
13:00:00 JVA 5.85
13:00:00 KL 30.13
13:00:00 KLAC 102.84
13:00:00 KOLD 19.31
13:00:00 MCD 181.95
13:00:00 MELI 351.45
13:00:00 MKSI 75.87
13:00:00 MLNX 90.88
13:00:00 MS 42.36
13:00:00 MSFT 104.47
13:00:00 MU 38.37
13:00:00 NBEV 6.94
13:00:00 NFLX 332.49
13:00:00 NIO 6.8
13:00:00 NVCN 0.76
13:00:00 NVDA 134.17
13:00:00 NVS 84.8
13:00:00 OCX 5.54
13:00:00 OSK 77.13
13:00:00 PAAS 14.43
13:00:00 PANW 206.74
13:00:00 PAYX 70.4
13:00:00 PBR 15.82
13:00:00 PDD 30.14
13:00:00 PFE 40.79
13:00:00 PYPL 91.8
13:00:00 QCOM 49.83
13:00:00 QQQ 163.02
13:00:00 RCL 114.87
13:00:00 RIO 55.56
13:00:00 RIOT 1.8
13:00:00 RMD 92.01
13:00:00 RNN 0.66
13:00:00 ROKU 43.34
13:00:00 RTN 173.1
13:00:00 RWT 15.74
13:00:00 RYAAY 70.29
13:00:00 SBS 11.68
13:00:00 SBUX 67.12
13:00:00 SDOW 15.78
13:00:00 SHW 409.98
13:00:00 SIG 24.5
13:00:00 SLAB 80.95
13:00:00 SLV 14.95
13:00:00 SPXU 38.95
13:00:00 SPY 264.91
13:00:00 SQ 70.01
13:00:00 SRPT 117.62
13:00:00 SYK 171.7
13:00:00 SYMC 20.48
13:00:00 T 29.81
13:00:00 TER 36.91
13:00:00 TIS 1.24
13:00:00 TMO 242.9
13:00:00 TQQQ 43.02
13:00:00 TRVN 1.07
13:00:00 TSLA 298.77
13:00:00 TUP 33.23
13:00:00 TVIX 45.8
13:00:00 TWLO 101.51
13:00:00 UDOW 84.55
13:00:00 UGAZ 38.7
13:00:00 UNG 25.58
13:00:00 UVXY 59.15
13:00:00 V 136.08
13:00:00 VALE 12.26
13:00:00 VIV 13.08
13:00:00 WB 58.68
13:00:00 WDC 43.22
13:00:00 WHR 134.69
13:00:00 WMT 96.61
13:00:00 XBI 80.29
13:00:00 XLK 65.27
13:00:00 XLNX 110.6
13:00:00 YUMC 35.36
13:00:00 YY 67.99
13:00:00 ZUO 21.18
13:00:00 ZVZZT 10.02
