Time Symbol VWAP
21:00:00 A 75.39
21:00:00 AA 29.63
21:00:00 AABA 67.92
21:00:00 AAC 2.3
21:00:00 AAL 36.32
21:00:00 AAN 49.44
21:00:00 AAOI 17.31
21:00:00 AAON 36.12
21:00:00 AAP 158.82
21:00:00 AAPL 165.22
21:00:00 AAT 42.47
21:00:00 AAU 0.74
21:00:00 AAWW 52.61
21:00:00 AAXJ 68.35
21:00:00 AAXN 49.68
21:00:00 AB 30.0
21:00:00 ABB 19.34
21:00:00 ABBV 78.98
21:00:00 ABC 78.49
21:00:00 ABCB 37.84
21:00:00 ABDC 7.21
21:00:00 ABEO 6.55
21:00:00 ABEV 4.82
21:00:00 ABG 70.09
21:00:00 ABIL 2.04
21:00:00 ABIO 0.43
21:00:00 ABM 33.41
21:00:00 ABMD 339.05
21:00:00 ABR 11.8
21:00:00 ABT 71.61
21:00:00 ABTX 36.09
21:00:00 ABUS 3.7
21:00:00 AC 40.6
21:00:00 ACA 28.93
21:00:00 ACAD 22.79
21:00:00 ACB 6.92
21:00:00 ACBI 18.35
21:00:00 ACC 46.2
21:00:00 ACCO 8.84
21:00:00 ACER 24.12
21:00:00 ACET 1.22
21:00:00 ACGL 29.22
21:00:00 ACGLO 22.78
21:00:00 ACGLP 22.21
21:00:00 ACH 9.11
21:00:00 ACHC 27.75
21:00:00 ACHN 2.16
21:00:00 ACHV 1.47
21:00:00 ACIA 43.06
21:00:00 ACIU 3.65
21:00:00 ACIW 28.68
21:00:00 ACLS 20.75
21:00:00 ACM 30.33
21:00:00 ACMR 9.39
21:00:00 ACN 153.9
21:00:00 ACNB 37.19
21:00:00 ACOR 16.41
21:00:00 ACRS 7.0
21:00:00 ACRX 2.45
21:00:00 ACTG 3.04
21:00:00 ACWI 68.84
21:00:00 ACWX 45.05
21:00:00 ADAP 4.65
21:00:00 ADBE 242.46
21:00:00 ADC 64.92
21:00:00 ADES 11.5
21:00:00 ADI 98.95
21:00:00 ADIL 5.58
21:00:00 ADM 44.63
21:00:00 ADMA 3.13
21:00:00 ADMP 3.09
21:00:00 ADMS 8.89
21:00:00 ADNT 19.32
21:00:00 ADP 139.57
21:00:00 ADRO 2.73
21:00:00 ADS 179.36
21:00:00 ADSK 145.69
21:00:00 ADSW 24.91
21:00:00 ADT 7.12
21:00:00 ADTN 14.66
21:00:00 ADUS 60.19
21:00:00 ADVM 3.01
21:00:00 ADX 13.65
21:00:00 AE 39.15
21:00:00 AEB 22.87
21:00:00 AEE 68.0
21:00:00 AEG 5.23
21:00:00 AEGN 17.94
21:00:00 AEHR 1.22
21:00:00 AEIS 50.92
21:00:00 AEL 30.56
21:00:00 AEM 43.02
21:00:00 AEO 21.17
21:00:00 AEP 77.28
21:00:00 AER 48.18
21:00:00 AERI 46.86
21:00:00 AES 16.31
21:00:00 AEZS 3.94
21:00:00 AFG 94.81
21:00:00 AFI 13.16
21:00:00 AFIN 13.0
21:00:00 AFL 47.28
21:00:00 AFMD 3.36
21:00:00 AFSI-B 8.37
21:00:00 AFSI-C 8.79
21:00:00 AFSI-F 8.35
21:00:00 AFSS 14.69
21:00:00 AFST 14.9
21:00:00 AG 5.99
21:00:00 AGCO 63.83
21:00:00 AGE 3.89
21:00:00 AGEN 3.47
21:00:00 AGFSW 0.1
