Time Symbol VWAP
17:00:00 A 74.35
17:00:00 AA 29.18
17:00:00 AABA 67.32
17:00:00 AAC 2.26
17:00:00 AAL 36.4
17:00:00 AAME 2.54
17:00:00 AAN 49.07
17:00:00 AAOI 17.16
17:00:00 AAON 35.56
17:00:00 AAP 159.81
17:00:00 AAPL 162.2
17:00:00 AAT 42.57
17:00:00 AAWW 51.87
17:00:00 AAXJ 67.53
17:00:00 AAXN 48.74
17:00:00 AB 30.1
17:00:00 ABB 19.16
17:00:00 ABBV 77.77
17:00:00 ABC 79.59
17:00:00 ABCB 37.55
17:00:00 ABDC 7.18
17:00:00 ABEO 6.56
17:00:00 ABEV 4.73
17:00:00 ABG 69.8
17:00:00 ABIO 0.44
17:00:00 ABM 32.93
17:00:00 ABMD 333.45
17:00:00 ABR 11.75
17:00:00 ABT 70.56
17:00:00 ABTX 36.21
17:00:00 ABUS 3.51
17:00:00 AC 41.22
17:00:00 ACA 28.5
17:00:00 ACAD 22.2
17:00:00 ACB 6.98
17:00:00 ACBI 18.37
17:00:00 ACC 46.22
17:00:00 ACCO 8.86
17:00:00 ACER 23.53
17:00:00 ACET 1.18
17:00:00 ACGL 28.97
17:00:00 ACGLO 22.7
17:00:00 ACH 9.01
17:00:00 ACHC 27.76
17:00:00 ACHN 2.09
17:00:00 ACHV 1.45
17:00:00 ACIA 42.64
17:00:00 ACIU 4.27
17:00:00 ACIW 28.43
17:00:00 ACLS 20.53
17:00:00 ACM 30.13
17:00:00 ACMR 9.34
17:00:00 ACN 152.67
17:00:00 ACOR 15.87
17:00:00 ACP 11.49
17:00:00 ACRS 6.93
17:00:00 ACRX 2.39
17:00:00 ACST 1.03
17:00:00 ACTG 3.04
17:00:00 ACU 17.11
17:00:00 ACWI 68.4
17:00:00 ACWX 44.7
17:00:00 ADAP 4.53
17:00:00 ADBE 240.16
17:00:00 ADC 64.81
17:00:00 ADES 11.53
17:00:00 ADI 97.82
17:00:00 ADIL 5.6
17:00:00 ADILW 0.75
17:00:00 ADM 44.64
17:00:00 ADMA 3.05
17:00:00 ADMP 3.12
17:00:00 ADMS 8.67
17:00:00 ADNT 18.9
17:00:00 ADOM 0.25
17:00:00 ADP 139.31
17:00:00 ADRO 2.42
17:00:00 ADS 177.71
17:00:00 ADSK 142.32
17:00:00 ADSW 24.89
17:00:00 ADT 7.16
17:00:00 ADTN 14.78
17:00:00 ADUS 60.02
17:00:00 ADVM 3.01
17:00:00 ADX 13.56
17:00:00 ADXS 0.34
17:00:00 AEE 67.79
17:00:00 AEG 5.19
17:00:00 AEGN 17.82
17:00:00 AEH 25.63
17:00:00 AEIS 50.42
17:00:00 AEL 30.43
17:00:00 AEM 42.34
17:00:00 AEMD 1.35
17:00:00 AEO 21.2
17:00:00 AEP 77.26
17:00:00 AER 47.89
17:00:00 AERI 47.13
17:00:00 AES 16.14
17:00:00 AFG 94.95
17:00:00 AFH 8.98
17:00:00 AFIN 13.01
17:00:00 AFK 21.29
17:00:00 AFL 47.31
17:00:00 AFMD 3.2
17:00:00 AFSI-B 8.04
17:00:00 AFSS 14.76
17:00:00 AFST 15.11
17:00:00 AG 5.83
17:00:00 AGCO 63.44
17:00:00 AGE 3.9
17:00:00 AGEN 3.41
17:00:00 AGFS 4.0
17:00:00 AGG 106.83
17:00:00 AGGY 48.56
17:00:00 AGI 4.37
17:00:00 AGIO 50.39
17:00:00 AGLE 9.12
17:00:00 AGM 71.23
17:00:00 AGN 143.94
17:00:00 AGNC 18.0
17:00:00 AGO 40.32
17:00:00 AGR 49.08
17:00:00 AGRO 7.27
17:00:00 AGRX 0.84
17:00:00 AGS 24.48
17:00:00 AGTC 2.87
17:00:00 AGX 42.07
17:00:00 AGYS 17.66
17:00:00 AHL 41.8
17:00:00 AHL-C 24.89
17:00:00 AHPI 1.99
17:00:00 AHT 4.89
17:00:00 AHT-G 20.92
17:00:00 AI 8.6
17:00:00 AIF 14.39
17:00:00 AIG 42.54
17:00:00 AIG+ 7.06
17:00:00 AIMC 29.52
17:00:00 AIMT 22.3
17:00:00 AIN 68.31
17:00:00 AINC 62.15
17:00:00 AINV 14.88
17:00:00 AIPT 1.06
17:00:00 AIQ 14.19
17:00:00 AIR 37.0
17:00:00 AIRG 10.9
17:00:00 AIT 58.24
17:00:00 AIV 49.58
17:00:00 AIZ 95.44
17:00:00 AJG 72.46
17:00:00 AJRD 38.85
17:00:00 AKAM 63.98
17:00:00 AKAO 1.69
17:00:00 AKBA 5.6
17:00:00 AKCA 27.94
17:00:00 AKER 1.08
17:00:00 AKG 0.74
17:00:00 AKP 13.75
17:00:00 AKRX 4.07
