Time Symbol VWAP
0:00:00 AAPL 165.67
0:00:00 ACIU 3.83
0:00:00 ADBE 245.0
0:00:00 AMZN 1691.14
0:00:00 BABA 167.08
0:00:00 BAC 29.12
0:00:00 BIDU 169.79
0:00:00 BILI 17.84
0:00:00 BKNG 1828.0
0:00:00 BRK.B 206.08
0:00:00 CAT 129.68
0:00:00 CGC 47.8
0:00:00 CRM 150.0
0:00:00 CRON 18.49
0:00:00 CY 14.28
0:00:00 EEM 42.87
0:00:00 FB 167.66
0:00:00 GOOG 1104.85
0:00:00 GOOGL 1113.83
0:00:00 HPQ 22.18
0:00:00 IIPR 60.05
0:00:00 INTC 47.64
0:00:00 KHC 46.97
0:00:00 MRCY 59.45
0:00:00 MSFT 103.64
0:00:00 MU 38.37
0:00:00 NEM 33.98
0:00:00 NFLX 341.43
0:00:00 NIO 7.45
0:00:00 NOW 208.24
0:00:00 NUGT 20.06
0:00:00 NVDA 137.76
0:00:00 PEP 111.22
0:00:00 PYPL 89.19
0:00:00 QCOM 51.39
0:00:00 QQQ 166.98
0:00:00 SPY 268.23
0:00:00 SQ 71.84
0:00:00 TDOC 62.1
0:00:00 TMUS 68.78
0:00:00 TQQQ 46.03
0:00:00 TSLA 297.08
0:00:00 TVIX 42.91
0:00:00 TWTR 33.24
0:00:00 UCO 18.32
0:00:00 ULTA 289.09
0:00:00 USO 11.44
0:00:00 V 135.26
0:00:00 WBA 71.6
0:00:00 WLTW 161.41
0:00:00 WPM 20.73
0:00:00 WYNN 124.0
0:00:00 X 20.92
0:00:00 ZVZZT 9.97
