Time Symbol VWAP
20:00:00 A 75.32
20:00:00 AA 29.6
20:00:00 AABA 68.13
20:00:00 AAC 2.31
20:00:00 AAL 36.52
20:00:00 AAN 49.59
20:00:00 AAOI 17.28
20:00:00 AAON 36.1
20:00:00 AAP 159.0
20:00:00 AAPL 165.3
20:00:00 AAT 42.59
20:00:00 AAWW 52.16
20:00:00 AAXJ 68.43
20:00:00 AAXN 49.67
20:00:00 AB 30.16
20:00:00 ABB 19.34
20:00:00 ABBV 78.87
20:00:00 ABC 78.84
20:00:00 ABCB 37.94
20:00:00 ABDC 7.16
20:00:00 ABEO 6.6
20:00:00 ABEV 4.82
20:00:00 ABG 70.12
20:00:00 ABIO 0.43
20:00:00 ABM 33.21
20:00:00 ABMD 338.32
20:00:00 ABR 11.79
20:00:00 ABT 71.5
20:00:00 ABTX 36.25
20:00:00 ABUS 3.69
20:00:00 AC 40.97
20:00:00 ACA 28.7
20:00:00 ACAD 22.71
20:00:00 ACB 6.94
20:00:00 ACBI 18.44
20:00:00 ACC 46.18
20:00:00 ACCO 8.92
20:00:00 ACET 1.23
20:00:00 ACGL 29.2
20:00:00 ACGLO 22.78
20:00:00 ACGLP 22.2
20:00:00 ACH 9.11
20:00:00 ACHC 27.74
20:00:00 ACHN 2.11
20:00:00 ACIA 43.05
20:00:00 ACIU 3.79
20:00:00 ACIW 28.68
20:00:00 ACLS 20.75
20:00:00 ACM 30.37
20:00:00 ACN 154.01
20:00:00 ACOR 16.24
20:00:00 ACRE 14.36
20:00:00 ACRS 7.06
20:00:00 ACRX 2.45
20:00:00 ACU 16.81
20:00:00 ACWI 68.91
20:00:00 ACWV 84.98
20:00:00 ACWX 45.08
20:00:00 ADAP 4.65
20:00:00 ADBE 242.4
20:00:00 ADC 65.03
20:00:00 ADI 99.16
20:00:00 ADIL 5.6
20:00:00 ADM 44.72
20:00:00 ADMA 3.07
20:00:00 ADMP 3.07
20:00:00 ADMS 8.98
20:00:00 ADNT 19.21
20:00:00 ADOM 0.25
20:00:00 ADP 140.28
20:00:00 ADRO 2.59
20:00:00 ADS 179.21
20:00:00 ADSK 144.7
20:00:00 ADSW 24.95
20:00:00 ADT 7.14
20:00:00 ADTN 14.74
20:00:00 ADUS 60.32
20:00:00 ADVM 3.01
20:00:00 ADX 13.64
20:00:00 ADXS 0.34
20:00:00 AEB 22.78
20:00:00 AEE 68.07
20:00:00 AEG 5.24
20:00:00 AEGN 18.01
20:00:00 AEH 25.62
20:00:00 AEIS 51.15
20:00:00 AEL 30.66
20:00:00 AEM 43.39
20:00:00 AEO 21.24
20:00:00 AEP 77.51
20:00:00 AER 48.61
20:00:00 AERI 46.85
20:00:00 AES 16.3
20:00:00 AETI 0.91
