Time Symbol VWAP
11:00:00 AAPL 163.25
11:00:00 AGNC 18.08
11:00:00 AMD 20.91
11:00:00 AMZN 1618.41
11:00:00 BA 367.03
11:00:00 BABA 160.03
11:00:00 BIDU 166.04
11:00:00 BTI 33.85
11:00:00 DGAZ 89.38
11:00:00 FB 145.35
11:00:00 GE 9.01
11:00:00 GLD 124.06
11:00:00 GME 11.35
11:00:00 GOGL 5.0
11:00:00 INTC 46.42
11:00:00 JNPR 25.13
11:00:00 MLNX 94.92
11:00:00 MSFT 103.98
11:00:00 NIO 6.99
11:00:00 NVDA 133.96
11:00:00 QCOM 49.57
11:00:00 RDS.A 59.49
11:00:00 SPY 264.3
11:00:00 SQ 69.73
11:00:00 TSLA 297.36
11:00:00 TVIX 46.12
11:00:00 UGAZ 38.67
11:00:00 VALE 12.01
11:00:00 WHR 133.99
11:00:00 ZVZZT 10.0
