Time Symbol VWAP
16:00:00 A 73.71
16:00:00 AA 29.13
16:00:00 AABA 67.74
16:00:00 AAC 2.36
16:00:00 AAL 36.41
16:00:00 AAN 49.18
16:00:00 AAOI 17.06
16:00:00 AAON 35.83
16:00:00 AAP 159.6
16:00:00 AAPL 162.49
16:00:00 AAT 42.47
16:00:00 AAWW 51.13
16:00:00 AAXJ 67.45
16:00:00 AAXN 48.77
16:00:00 ABB 19.08
16:00:00 ABBV 77.44
16:00:00 ABC 79.54
16:00:00 ABCB 37.57
16:00:00 ABDC 7.0
16:00:00 ABEO 6.53
16:00:00 ABEV 4.73
16:00:00 ABG 69.86
16:00:00 ABIL 2.05
16:00:00 ABIO 0.44
16:00:00 ABM 33.22
16:00:00 ABMD 328.69
16:00:00 ABR 11.71
16:00:00 ABT 70.24
16:00:00 ABTX 36.28
16:00:00 ACA 28.92
16:00:00 ACAD 22.29
16:00:00 ACB 7.0
16:00:00 ACBI 18.4
16:00:00 ACC 46.15
16:00:00 ACER 23.22
16:00:00 ACET 1.18
16:00:00 ACGL 28.9
16:00:00 ACGLO 22.75
16:00:00 ACGLP 22.15
16:00:00 ACH 9.01
16:00:00 ACHC 27.56
16:00:00 ACHN 2.08
16:00:00 ACIA 43.13
16:00:00 ACIU 3.86
16:00:00 ACIW 28.54
16:00:00 ACLS 20.4
16:00:00 ACM 30.11
16:00:00 ACN 152.22
16:00:00 ACOR 15.82
16:00:00 ACRE 14.33
16:00:00 ACRS 6.92
16:00:00 ACRX 2.42
16:00:00 ACSI 30.91
16:00:00 ACST 1.03
16:00:00 ACT 22.86
16:00:00 ACTG 3.04
16:00:00 ACV 20.88
16:00:00 ACWI 68.28
16:00:00 ACWV 84.35
16:00:00 ACWX 44.62
16:00:00 ADAP 4.56
16:00:00 ADBE 239.6
16:00:00 ADC 64.75
16:00:00 ADI 97.71
16:00:00 ADIL 4.98
16:00:00 ADILW 0.71
16:00:00 ADM 44.52
16:00:00 ADMA 3.03
16:00:00 ADMP 3.13
16:00:00 ADMS 8.54
16:00:00 ADNT 18.91
16:00:00 ADOM 0.25
16:00:00 ADP 138.73
16:00:00 ADRO 2.44
16:00:00 ADS 177.07
16:00:00 ADSK 141.89
16:00:00 ADSW 24.87
16:00:00 ADT 7.19
16:00:00 ADTN 14.71
16:00:00 ADUS 59.82
16:00:00 ADVM 2.92
16:00:00 ADX 13.56
16:00:00 ADXS 0.34
16:00:00 AEB 22.4
16:00:00 AEE 67.74
16:00:00 AEG 5.2
16:00:00 AEGN 17.8
16:00:00 AEH 25.62
16:00:00 AEHR 1.18
16:00:00 AEIS 50.88
16:00:00 AEL 30.38
16:00:00 AEM 42.33
16:00:00 AEO 21.16
16:00:00 AEP 77.37
16:00:00 AER 47.89
16:00:00 AERI 46.96
16:00:00 AES 16.16
16:00:00 AEZS 3.95
16:00:00 AFG 94.61
16:00:00 AFI 13.06
16:00:00 AFIN 12.96
16:00:00 AFL 47.18
16:00:00 AFMD 3.2
16:00:00 AFSI-A 7.99
16:00:00 AFSI-B 7.8
16:00:00 AFSI-D 8.28
16:00:00 AFSI-E 8.37
16:00:00 AFSI-F 7.9
16:00:00 AFST 14.71
16:00:00 AG 5.83
16:00:00 AGCO 63.31
16:00:00 AGD 9.52
16:00:00 AGE 4.03
16:00:00 AGEN 3.42
16:00:00 AGFS 4.07
16:00:00 AGG 106.85
16:00:00 AGGY 48.62
16:00:00 AGI 4.36
16:00:00 AGIO 50.47
16:00:00 AGLE 9.07
16:00:00 AGM 71.76
16:00:00 AGN 143.88
16:00:00 AGNC 17.98
16:00:00 AGNCB 25.27
16:00:00 AGNCN 25.73
16:00:00 AGO-E 25.52
16:00:00 AGQ 27.78
16:00:00 AGR 48.98
16:00:00 AGRO 7.2
16:00:00 AGRX 0.84
16:00:00 AGS 24.6
16:00:00 AGTC 2.87
16:00:00 AGX 42.49
16:00:00 AGYS 17.44
16:00:00 AGZD 47.39
16:00:00 AHL 41.82
16:00:00 AHL-C 24.88
16:00:00 AHT 4.9
16:00:00 AHT-I 21.33
16:00:00 AI 8.61
16:00:00 AIF 14.4
16:00:00 AIG 42.36
16:00:00 AIG+ 7.04
16:00:00 AIMC 29.39
16:00:00 AIMT 22.26
16:00:00 AIN 68.02
16:00:00 AINC 61.33
16:00:00 AINV 14.74
16:00:00 AIPT 1.05
16:00:00 AIR 36.68
16:00:00 AIRG 10.82
16:00:00 AIT 58.29
16:00:00 AIV 49.49
16:00:00 AIZ 95.3
16:00:00 AJG 72.13
16:00:00 AJRD 38.84
16:00:00 AKAM 63.99
16:00:00 AKAO 1.7
16:00:00 AKBA 5.53
16:00:00 AKCA 28.08
16:00:00 AKER 1.17
16:00:00 AKR 28.31
16:00:00 AKRX 4.12
16:00:00 AKS 2.87
16:00:00 AKTS 7.3
16:00:00 AL 37.73
16:00:00 ALB 78.93
16:00:00 ALBO 23.26
16:00:00 ALD 44.08
16:00:00 ALDR 12.81
16:00:00 ALDX 8.41
16:00:00 ALE 75.37
16:00:00 ALFA 45.24
16:00:00 ALG 86.58
16:00:00 ALGN 219.95
16:00:00 ALGT 124.65
16:00:00 ALK 64.29
16:00:00 ALKS 32.26
16:00:00 ALL 86.61
16:00:00 ALL-A 25.5
16:00:00 ALL-E 25.32
16:00:00 ALLE 85.14
16:00:00 ALLK 39.3
16:00:00 ALLO 29.58
16:00:00 ALLY 26.35
16:00:00 ALLY-A 26.09
16:00:00 ALNA 7.66
16:00:00 ALNY 78.47
16:00:00 ALO 0.8
16:00:00 ALRM 61.94
16:00:00 ALRN 1.06
16:00:00 ALSK 1.94
16:00:00 ALSN 48.8
16:00:00 ALT 2.96
16:00:00 ALTM 8.11
16:00:00 ALTR 30.95
16:00:00 ALV 78.02
16:00:00 ALXN 118.3
16:00:00 ALYA 2.83
16:00:00 AM 26.18
16:00:00 AMAG 15.43
16:00:00 AMAL 19.35
16:00:00 AMAT 38.89
16:00:00 AMBA 37.56
16:00:00 AMBC 18.58
16:00:00 AMC 14.09
16:00:00 AMCN 0.57
16:00:00 AMCX 61.23
16:00:00 AMD 22.27
16:00:00 AME 71.56
16:00:00 AMED 129.23
16:00:00 AMEH 19.18
16:00:00 AMG 104.14
16:00:00 AMGN 180.71
16:00:00 AMGP 13.8
16:00:00 AMH 22.24
16:00:00 AMH-D 24.71
16:00:00 AMH-E 23.82
16:00:00 AMH-H 23.71
16:00:00 AMID 4.07
16:00:00 AMJ 25.11
16:00:00 AMJL 14.4
16:00:00 AMKR 7.85
16:00:00 AMLP 9.87
16:00:00 AMMA 0.17
16:00:00 AMN 64.18
16:00:00 AMOT 41.55
