Time Symbol VWAP
12:00:00 AAPL 163.0
12:00:00 ACIU 6.8
12:00:00 ADM 44.69
12:00:00 AGN 143.44
12:00:00 ALGN 207.0
12:00:00 AMAT 38.58
12:00:00 AMD 21.19
12:00:00 AMGN 188.84
12:00:00 AMZN 1620.43
12:00:00 ANTM 287.04
12:00:00 AVCO 5.57
12:00:00 BA 369.97
12:00:00 BABA 160.39
12:00:00 BIDU 166.8
12:00:00 BIIB 323.96
12:00:00 BOTZ 18.01
12:00:00 BSBR 12.9
12:00:00 CANF 1.34
12:00:00 CAT 127.16
12:00:00 CCL 56.66
12:00:00 CGC 47.79
12:00:00 CLF 9.66
12:00:00 CODX 1.59
12:00:00 CUK 55.87
12:00:00 DGAZ 88.71
12:00:00 DIS 111.0
12:00:00 DWT 9.35
12:00:00 EBAY 33.74
12:00:00 EGHT 16.98
12:00:00 ETFC 47.21
12:00:00 EWZ 44.11
12:00:00 F 8.74
12:00:00 FB 145.45
12:00:00 FRSX 1.91
12:00:00 FTI 23.01
12:00:00 GOGL 4.98
12:00:00 GOOGL 1076.49
12:00:00 IBN 10.3
12:00:00 INTC 46.49
12:00:00 IPCI 0.37
12:00:00 JD 23.94
12:00:00 JNPR 24.8
12:00:00 JVA 6.01
12:00:00 KOLD 19.15
12:00:00 MLNX 93.01
12:00:00 MMM 198.57
12:00:00 MSFT 104.21
12:00:00 NFLX 332.5
12:00:00 NIO 6.97
12:00:00 NVCN 0.73
12:00:00 NVDA 133.97
12:00:00 NVS 85.0
12:00:00 PANW 206.0
12:00:00 PAYX 70.33
12:00:00 PBR 15.93
12:00:00 PCG 13.54
12:00:00 PDD 30.15
12:00:00 PULM 0.2
12:00:00 PYPL 91.68
12:00:00 QQQ 163.1
12:00:00 RDS.A 59.76
12:00:00 RWT 15.67
12:00:00 SQ 69.54
12:00:00 SRTY 28.97
12:00:00 SYK 171.03
12:00:00 T 30.01
12:00:00 TER 36.91
12:00:00 TGE 24.63
12:00:00 TME 15.57
12:00:00 TQQQ 42.78
12:00:00 TRVN 1.04
12:00:00 TSLA 298.33
12:00:00 TVIX 46.01
12:00:00 TWTR 31.92
12:00:00 UGAZ 39.15
12:00:00 UNG 25.75
12:00:00 VALE 12.25
12:00:00 WHR 134.18
12:00:00 XLE 62.55
12:00:00 XLNX 111.08
12:00:00 ZVZZT 10.02
